trip_id,service_id,route_id,trip_headsign,trip_short_name,direction_id,shape_id
1163_1000001_41_1_175500,3,41,ROYAT Pl. Allard,,0,2533425114923644
1164_1000007_42BA.AR_161000,5,42,CEYRAT Arténium,,1,2533425114923691
1163_1000001_NP_BC.AR_120200,3,N-P,AUBIÈRE Pl. des Ramacles,,1,2533425114923689
1132_1000001_5_5_080800,3,5,ROYAT AvanC-Breuil,,0,2533425114923635
1017_1000001_C_DC.CA_052900,7,C,COURNON Allier,,1,2533425114923566
946_1000002_C_DC.CA_133600,1,C,COURNON Allier,,1,2533425114923566
925_1000002_03GC.AR_075700,1,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923573
1107_1000003_A_2_085500,2,A,Les Vergnes,,1,2533425114923568
1163_1000001_27LL.RO_170500,3,27,ROMAGNAT Opme,,0,2533425114923653
1163_1000001_27LL.RO_173500,3,27,ROMAGNAT Opme,,0,2533425114923653
925_1000002_05RP.RA_162000,1,5,ROYAT Pl. Allard,,1,2533425114923591
925_1000002_05RP.RA_164000,1,5,ROYAT Pl. Allard,,1,2533425114923591
925_1000002_9_5_134700,1,9,Trémonteix Paul Eychart,,0,2533425114923636
946_1000002_C_DC.CA_061900,1,C,COURNON Allier,,1,2533425114923566
925_1000002_9_5_153500,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1023_1000007_A_VE.PG_193800,10,A,La Pardieu Gare,,0,2533425114923570
1136_1000012_A_PG.VE_152600,32,A,Les Vergnes,,1,2533425114923567
925_1000002_03AR.VI_204400,1,3,Les Vignes,,1,2533425114923572
1017_1000001_C_DC.CA_080900,23,C,COURNON Allier,,1,2533425114923566
925_1000002_9_5_142900,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1017_1000001_C_CA.DC_152600,23,C,DURTOL Clinique,,0,2533425114923565
1017_1000001_B_2_084800,23,B,AULNAT St Exupéry,,1,2533425114923562
1132_1000001_03AR.GC_153400,3,3,GERZAT Champfleuri,,1,2533425114923571
925_1000002_4_13_080600,1,4,Trémonteix Charcot,,1,2533425114923583
1163_1000001_36PH.PS_060900,3,36,Faculté,,0,2533425114923640
1132_1000001_21_5_173700,3,21,Lycée La Fayette,,0,2533425114923575
